date,store_id,product_id,product_name,category,sub_category,region,city,units_sold,revenue,price_per_unit,discount_percentage,marketing_spend,customer_footfall,conversion_rate,holiday_flag,weekend_flag,competitor_price,stock_available,supply_chain_delay_days,weather_index,economic_index
2022-04-08,STR-047,PRD-0303,ModernEdge Women 965,Fashion,Women Clothing,KSA,Riyadh,49,21003.48,659.45,35.0,0.0,1663,0.0295,1,1,649.8,49,6,29.5,1.0407
2020-12-06,STR-040,PRD-0007,PureSkin Haircare 756,Beauty,Haircare,Oman,Salalah,12,3595.8,299.65,0.0,0.0,713,0.0168,0,0,291.98,54,0,15.0,0.9125
2020-09-26,STR-033,PRD-0142,ModernEdge Women 920,Fashion,Women Clothing,UAE,Dubai,3,500.77,185.47,10.0,0.0,345,0.0087,0,1,196.5,80,6,21.4,0.8325
2024-08-27,STR-012,PRD-0340,ProFit Outdoor 475,Sports,Outdoor Gear,Qatar,Lusail,11,926.86,84.26,0.0,59.86,386,0.0285,0,0,78.11,26,0,29.7,1.1362
2024-09-21,STR-007,PRD-0283,FreshChoice Snacks 936,Grocery,Snacks,Oman,Nizwa,82,2077.88,25.34,0.0,0.0,1206,0.068,0,1,21.94,82,0,25.0,1.1389
2021-07-25,STR-018,PRD-0449,SmartEdge Laptops 906,Electronics,Laptops,UAE,Dubai,5,14316.5,2863.3,0.0,0.0,506,0.0099,0,0,2511.73,58,0,37.3,1.0125
2023-08-20,STR-047,PRD-0303,ModernEdge Women 965,Fashion,Women Clothing,KSA,Riyadh,12,7913.4,659.45,0.0,0.0,702,0.0171,0,0,751.03,110,0,32.5,1.0953
2022-04-01,STR-008,PRD-0254,FarmFresh Snacks 754,Grocery,Snacks,Oman,Sohar,41,2004.08,48.88,0.0,0.0,638,0.0643,0,1,42.83,101,0,25.3,1.0399
2021-07-18,STR-016,PRD-0319,DailyDelight Dairy 578,Grocery,Dairy,UAE,Sharjah,75,747.75,9.97,0.0,0.0,214,0.35,0,0,9.23,120,0,38.0,1.0118
2023-10-24,STR-008,PRD-0449,SmartEdge Laptops 906,Electronics,Laptops,Oman,Sohar,7,20043.1,2863.3,0.0,0.0,697,0.01,0,0,3002.95,60,0,19.2,1.1025
2021-11-12,STR-047,PRD-0452,PureSkin Haircare 275,Beauty,Haircare,KSA,Riyadh,10,1699.2,169.92,0.0,284.46,618,0.0162,0,1,167.4,93,0,15.0,1.0246
2022-03-22,STR-014,PRD-0247,HomePlus Lighting 943,Home & Living,Lighting,Oman,Salalah,7,4664.9,952.02,30.0,0.0,814,0.0086,0,0,883.66,129,0,25.6,1.0388
2020-05-25,STR-023,PRD-0068,OrganicBest Frozen 366,Grocery,Frozen Foods,Qatar,Al Khor,94,1622.82,21.58,20.0,0.0,1603,0.0586,1,0,23.38,94,0,37.9,0.821
2020-07-09,STR-035,PRD-0229,UrbanSpace Decor 965,Home & Living,Decor,KSA,Mecca,8,4328.56,541.07,0.0,0.0,217,0.0369,0,0,603.55,68,0,35.3,0.8252
2020-11-29,STR-045,PRD-0110,PeakForce Supplements 863,Sports,Supplements,Oman,Nizwa,11,146.6,17.77,25.0,0.0,408,0.027,0,0,17.33,37,0,15.0,0.9092
2022-04-14,STR-043,PRD-0121,VogueWear Women 842,Fashion,Women Clothing,Oman,Salalah,31,17712.66,714.22,20.0,0.0,492,0.063,1,0,714.54,142,6,30.9,1.0413
2020-03-08,STR-027,PRD-0448,LivingArt Furniture 993,Home & Living,Furniture,KSA,Riyadh,4,243.16,60.79,0.0,0.0,163,0.0245,0,0,51.85,32,0,24.6,0.8137
2022-09-07,STR-022,PRD-0037,GoldenHarvest Snacks 721,Grocery,Snacks,KSA,Dammam,93,1169.01,16.76,25.0,0.0,382,0.2435,0,0,19.22,125,4,29.7,1.0573
2022-10-06,STR-020,PRD-0145,VogueWear Men 686,Fashion,Men Clothing,KSA,Riyadh,14,7505.45,630.71,15.0,0.0,947,0.0148,0,0,612.75,75,0,20.7,1.0605
2022-03-06,STR-019,PRD-0091,FreshChoice Bakery 146,Grocery,Bakery,Oman,Muscat,94,338.87,5.15,30.0,0.0,322,0.2919,0,0,5.12,146,0,19.0,1.0371
2022-04-23,STR-043,PRD-0388,PeakForce Outdoor 748,Sports,Outdoor Gear,Oman,Salalah,9,768.08,113.79,25.0,0.0,1482,0.0061,1,1,107.46,72,0,33.1,1.0423
2022-03-14,STR-031,PRD-0135,EleganceX Accessories 340,Fashion,Accessories,Oman,Sohar,12,9444.84,787.07,0.0,0.0,533,0.0225,0,0,771.66,125,0,24.0,1.038
2020-07-05,STR-009,PRD-0160,BloomEssence Fragrance 267,Beauty,Fragrance,UAE,Abu Dhabi,25,4271.6,213.58,20.0,0.0,918,0.0272,1,0,226.6,107,0,38.5,0.8248
2020-03-23,STR-050,PRD-0077,NaturePure Fresh 411,Grocery,Fresh Produce,UAE,Dubai,31,411.68,13.28,0.0,0.0,349,0.0888,0,0,13.1,66,0,25.0,0.8151
2022-06-10,STR-042,PRD-0191,SportElite Accessories 164,Sports,Accessories,Oman,Muscat,14,3489.64,249.26,0.0,0.0,382,0.0366,0,1,285.61,64,0,39.5,1.0476
2024-09-22,STR-049,PRD-0333,NestCraft Bedding 234,Home & Living,Bedding,Oman,Nizwa,3,1366.55,650.74,30.0,0.0,689,0.0044,0,0,685.2,51,0,24.4,1.139
2020-12-16,STR-004,PRD-0464,OrganicBest Bakery 458,Grocery,Bakery,Oman,Muscat,96,354.24,3.69,0.0,0.0,591,0.1624,0,0,4.04,140,0,15.0,0.9171
2021-06-21,STR-014,PRD-0357,BloomEssence Fragrance 784,Beauty,Fragrance,Oman,Salalah,9,502.47,55.83,0.0,0.0,458,0.0197,0,0,53.94,68,0,40.7,1.0055
2021-05-28,STR-005,PRD-0081,CozyNest Storage 369,Home & Living,Storage,UAE,Ajman,16,2868.48,199.2,10.0,111.19,774,0.0207,0,1,205.81,25,0,38.5,0.994
2024-06-26,STR-012,PRD-0229,UrbanSpace Decor 965,Home & Living,Decor,Qatar,Lusail,16,8657.12,541.07,0.0,0.0,398,0.0402,0,0,580.38,115,0,38.4,1.1294
2023-05-11,STR-045,PRD-0412,NestCraft Bedding 232,Home & Living,Bedding,Oman,Nizwa,9,3051.09,339.01,0.0,0.0,848,0.0106,0,0,305.97,67,0,35.4,1.0843
2024-07-14,STR-011,PRD-0239,NovaTech Tablets 357,Electronics,Tablets,KSA,Jeddah,11,28549.52,2883.79,10.0,0.0,393,0.028,0,0,3159.09,38,0,37.6,1.1314
2020-06-03,STR-045,PRD-0093,ClassicFit Accessories 142,Fashion,Accessories,Oman,Nizwa,9,963.45,107.05,0.0,0.0,396,0.0227,0,0,91.64,137,0,39.4,0.8218
2020-02-11,STR-020,PRD-0234,ClassicFit Sportswear 858,Fashion,Sportswear,KSA,Riyadh,4,3132.0,783.0,0.0,0.0,551,0.0073,0,0,877.57,92,0,18.9,0.9545
2023-09-09,STR-007,PRD-0010,ClassicFit Kids 640,Fashion,Kids Clothing,Oman,Nizwa,16,1813.44,113.34,0.0,0.0,800,0.02,0,1,120.06,122,0,26.8,1.0975
2020-11-05,STR-014,PRD-0302,DailyDelight Dairy 656,Grocery,Dairy,Oman,Salalah,42,329.7,7.85,0.0,0.0,358,0.1173,0,0,8.57,73,0,15.0,0.8981
2022-03-09,STR-013,PRD-0147,GoldenHarvest Frozen 728,Grocery,Frozen Foods,KSA,Dammam,107,4313.17,40.31,0.0,0.0,483,0.2215,0,0,40.37,137,0,19.3,1.0374
2022-12-14,STR-027,PRD-0329,LivingArt Kitchen 282,Home & Living,Kitchen,KSA,Riyadh,7,105.3,21.49,30.0,0.0,694,0.0101,0,0,20.72,98,0,15.0,1.0681
2024-08-29,STR-031,PRD-0159,UrbanSpace Lighting 409,Home & Living,Lighting,Oman,Sohar,8,2035.76,254.47,0.0,0.0,463,0.0173,0,0,248.6,33,0,30.5,1.1364
2023-02-13,STR-017,PRD-0340,ProFit Outdoor 475,Sports,Outdoor Gear,KSA,Riyadh,7,589.82,84.26,0.0,0.0,774,0.009,0,0,75.08,30,0,15.7,1.0748
2022-03-19,STR-022,PRD-0252,RadiantX Makeup 686,Beauty,Makeup,KSA,Dammam,21,8334.9,396.9,0.0,0.0,1189,0.0177,0,1,423.96,71,0,23.1,1.0385
2024-05-08,STR-048,PRD-0463,ActiveEdge Supplements 936,Sports,Supplements,UAE,Dubai,4,2041.2,510.3,0.0,307.67,924,0.0043,0,0,494.36,70,0,34.6,1.124
2023-05-11,STR-011,PRD-0102,UrbanSpace Kitchen 531,Home & Living,Kitchen,KSA,Jeddah,5,4123.3,824.66,0.0,0.0,428,0.0117,0,0,867.39,32,3,35.4,1.0843
2022-08-10,STR-017,PRD-0017,ModernEdge Sportswear 961,Fashion,Sportswear,KSA,Riyadh,5,3203.73,674.47,5.0,0.0,539,0.0093,0,0,632.16,146,0,31.5,1.0543
2023-07-14,STR-046,PRD-0412,NestCraft Bedding 232,Home & Living,Bedding,Oman,Nizwa,9,3051.09,339.01,0.0,354.94,871,0.0103,0,1,290.48,26,0,43.3,1.0913
2022-10-22,STR-007,PRD-0386,SportElite Supplements 388,Sports,Supplements,Oman,Nizwa,2,794.24,397.12,0.0,0.0,211,0.0095,0,1,355.93,146,0,20.3,1.0623
2022-08-10,STR-049,PRD-0224,FlexZone Accessories 587,Sports,Accessories,Oman,Nizwa,7,2977.17,425.31,0.0,0.0,675,0.0104,0,0,365.56,113,0,31.5,1.0543
2023-06-24,STR-005,PRD-0318,LivingArt Lighting 388,Home & Living,Lighting,UAE,Ajman,21,8026.64,424.69,10.0,0.0,1103,0.019,0,1,461.18,133,0,41.0,1.0891
2022-05-14,STR-001,PRD-0486,DailyDelight Beverages 894,Grocery,Beverages,Oman,Nizwa,101,1662.46,16.46,0.0,0.0,898,0.1125,0,1,14.28,104,0,37.4,1.0446
2022-12-28,STR-001,PRD-0182,PureSkin Fragrance 244,Beauty,Fragrance,Oman,Nizwa,25,8002.96,376.61,15.0,0.0,682,0.0367,0,0,393.24,29,0,15.0,1.0696
2022-01-04,STR-021,PRD-0435,PixelMax Headphones 488,Electronics,Headphones,Oman,Salalah,1,2015.96,2015.96,0.0,0.0,590,0.0017,0,0,1963.37,57,6,15.0,1.0304
2022-01-17,STR-025,PRD-0330,OrganicBest Beverages 807,Grocery,Beverages,Oman,Nizwa,92,1644.04,17.87,0.0,239.36,434,0.212,0,0,19.01,132,0,15.0,1.0318
2021-02-11,STR-006,PRD-0445,NaturePure Frozen 797,Grocery,Frozen Foods,Qatar,Lusail,20,781.0,39.05,0.0,0.0,314,0.0637,0,0,33.56,20,0,18.2,0.9438
2023-12-16,STR-028,PRD-0059,GoldenHarvest Bakery 498,Grocery,Bakery,UAE,Ajman,94,2509.8,26.7,0.0,0.0,655,0.1435,0,1,28.7,94,0,15.0,1.1083
2021-08-01,STR-039,PRD-0084,OrganicBest Frozen 494,Grocery,Frozen Foods,UAE,Abu Dhabi,20,497.2,24.86,0.0,324.83,292,0.0685,0,0,28.37,20,0,36.4,1.0133
2021-03-21,STR-042,PRD-0075,NovaTech Cameras 504,Electronics,Cameras,Oman,Muscat,4,12108.06,3363.35,10.0,0.0,546,0.0073,0,0,3071.57,99,0,27.6,0.9617
2022-09-05,STR-014,PRD-0401,FarmFresh Frozen 936,Grocery,Frozen Foods,Oman,Salalah,46,910.8,19.8,0.0,0.0,527,0.0873,0,0,17.19,97,0,30.5,1.0571
2024-10-24,STR-021,PRD-0435,PixelMax Headphones 488,Electronics,Headphones,Oman,Salalah,12,24191.52,2015.96,0.0,464.15,814,0.0147,0,0,2103.81,105,0,16.4,1.1426
2023-03-13,STR-011,PRD-0239,NovaTech Tablets 357,Electronics,Tablets,KSA,Jeddah,6,17302.74,2883.79,0.0,0.0,411,0.0146,0,0,2745.8,58,0,24.3,1.0778
2020-08-09,STR-019,PRD-0400,ClassicFit Sportswear 412,Fashion,Sportswear,Oman,Muscat,7,2818.04,536.77,25.0,0.0,390,0.0179,0,0,601.61,137,0,30.6,0.8281
2023-08-08,STR-032,PRD-0168,BloomEssence Skincare 373,Beauty,Skincare,Qatar,Al Khor,12,1895.29,225.63,30.0,218.39,377,0.0318,0,0,210.95,38,0,32.8,1.094
2023-10-04,STR-045,PRD-0124,FarmFresh Frozen 556,Grocery,Frozen Foods,Oman,Nizwa,0,0.0,49.61,0.0,0.0,641,0.0,0,0,53.77,0,0,24.6,1.1003
2021-11-25,STR-032,PRD-0270,SmartEdge Smart 776,Electronics,Smart Watches,Qatar,Al Khor,4,7356.0,1839.0,0.0,0.0,665,0.006,0,0,2079.55,23,0,15.0,1.026
2021-06-08,STR-003,PRD-0085,PixelMax Cameras 629,Electronics,Cameras,Qatar,Lusail,11,26919.02,2879.04,15.0,0.0,585,0.0188,0,0,3147.56,40,0,41.1,0.9992
2020-05-17,STR-028,PRD-0024,BloomEssence Fragrance 627,Beauty,Fragrance,UAE,Ajman,26,3420.22,202.38,35.0,0.0,494,0.0526,1,0,193.81,34,0,39.9,0.8203
2024-06-25,STR-009,PRD-0342,PeakForce Accessories 373,Sports,Accessories,UAE,Abu Dhabi,0,0.0,526.49,0.0,0.0,213,0.0,0,0,534.16,0,0,40.3,1.1293
2020-09-09,STR-018,PRD-0215,EliteHome Kitchen 462,Home & Living,Kitchen,UAE,Dubai,5,2493.35,498.67,0.0,385.95,496,0.0101,0,0,548.83,92,0,29.6,0.831
2024-07-17,STR-041,PRD-0305,GlowUp Haircare 288,Beauty,Haircare,KSA,Mecca,23,3135.82,136.34,0.0,207.91,797,0.0289,0,0,146.15,149,0,39.4,1.1317
2021-05-28,STR-035,PRD-0389,PixelMax Smart 785,Electronics,Smart Watches,KSA,Mecca,7,3566.5,509.5,0.0,89.18,1260,0.0056,0,1,574.16,131,0,38.5,0.994
2023-08-04,STR-043,PRD-0175,NaturePure Dairy 642,Grocery,Dairy,Oman,Salalah,96,747.84,7.79,0.0,0.0,453,0.2119,0,1,7.26,105,0,35.4,1.0936
2022-04-15,STR-005,PRD-0089,OrganicBest Frozen 940,Grocery,Frozen Foods,UAE,Ajman,35,110.67,3.72,15.0,0.0,451,0.0776,1,1,3.69,35,0,32.2,1.0415
2024-08-01,STR-018,PRD-0353,TrendWave Men 427,Fashion,Men Clothing,UAE,Dubai,16,6292.66,436.99,10.0,0.0,725,0.0221,0,0,458.43,25,0,32.1,1.1334
2024-03-07,STR-040,PRD-0302,DailyDelight Dairy 656,Grocery,Dairy,Oman,Salalah,109,812.87,7.85,5.0,0.0,554,0.1968,0,0,7.92,120,0,26.0,1.1173
2021-01-04,STR-001,PRD-0411,CozyNest Storage 775,Home & Living,Storage,Oman,Nizwa,9,4975.33,581.91,5.0,0.0,185,0.0486,0,0,568.59,83,0,15.0,0.926
2020-11-12,STR-042,PRD-0369,FarmFresh Beverages 787,Grocery,Beverages,Oman,Muscat,44,736.43,23.91,30.0,0.0,635,0.0693,0,0,26.89,78,0,15.0,0.9014
2022-08-11,STR-029,PRD-0006,ProFit Accessories 352,Sports,Accessories,UAE,Sharjah,10,2104.7,210.47,0.0,0.0,617,0.0162,0,0,229.89,55,0,33.9,1.0544
2020-08-14,STR-022,PRD-0035,EleganceX Footwear 451,Fashion,Footwear,KSA,Dammam,3,852.93,284.31,0.0,0.0,408,0.0074,0,1,317.81,14,0,35.6,0.8285
2023-10-29,STR-024,PRD-0492,NestCraft Bedding 127,Home & Living,Bedding,Qatar,Al Wakrah,11,4799.32,484.78,10.0,144.26,273,0.0403,0,0,452.53,81,0,15.0,1.103
2024-03-30,STR-029,PRD-0409,SmartEdge Tablets 394,Electronics,Tablets,UAE,Sharjah,0,0.0,3107.47,35.0,0.0,1626,0.0,1,1,3549.71,0,0,28.0,1.1198
2020-04-01,STR-022,PRD-0373,GoldenHarvest Bakery 850,Grocery,Bakery,KSA,Dammam,33,97.42,3.69,20.0,0.0,294,0.1122,0,0,3.52,65,0,31.2,0.816
2023-08-23,STR-003,PRD-0117,PureSkin Fragrance 563,Beauty,Fragrance,Qatar,Lusail,11,1399.05,133.88,5.0,0.0,409,0.0269,0,0,130.33,51,0,33.8,1.0957
2020-03-17,STR-023,PRD-0169,FreshChoice Beverages 834,Grocery,Beverages,Qatar,Al Khor,0,0.0,31.6,0.0,0.0,243,0.0,0,0,33.49,0,0,22.9,0.8146
2024-02-14,STR-012,PRD-0432,RadiantX Personal 994,Beauty,Personal Care,Qatar,Lusail,38,9321.7,350.44,30.0,0.0,503,0.0755,0,0,384.44,112,0,15.0,1.1148
2022-11-05,STR-016,PRD-0354,TrendWave Men 993,Fashion,Men Clothing,UAE,Sharjah,22,16891.38,767.79,0.0,0.0,876,0.0251,0,1,668.75,112,0,17.3,1.0638
2023-12-10,STR-018,PRD-0257,LuxeBeauty Personal 391,Beauty,Personal Care,UAE,Dubai,5,1672.65,334.53,0.0,0.0,606,0.0083,0,0,310.26,86,0,15.0,1.1076
2022-06-30,STR-004,PRD-0394,CozyNest Furniture 304,Home & Living,Furniture,Oman,Muscat,8,6164.56,770.57,0.0,0.0,361,0.0222,0,0,707.51,61,0,36.6,1.0498
2022-11-05,STR-037,PRD-0472,UrbanStyle Accessories 888,Fashion,Accessories,UAE,Sharjah,19,8196.98,431.42,0.0,428.54,1054,0.018,0,1,430.21,132,4,17.3,1.0638
2023-08-07,STR-047,PRD-0198,RadiantX Personal 290,Beauty,Personal Care,KSA,Riyadh,8,2962.24,370.28,0.0,0.0,692,0.0116,0,0,351.82,43,0,35.0,1.0939
2022-01-21,STR-044,PRD-0102,UrbanSpace Kitchen 531,Home & Living,Kitchen,UAE,Abu Dhabi,14,11545.24,824.66,0.0,365.29,916,0.0153,0,1,775.88,104,0,15.0,1.0323
2020-04-15,STR-043,PRD-0370,BloomEssence Haircare 447,Beauty,Haircare,Oman,Salalah,6,906.12,151.02,0.0,55.97,466,0.0129,0,0,166.02,35,0,28.9,0.8173
2023-05-15,STR-016,PRD-0210,TrendWave Accessories 577,Fashion,Accessories,UAE,Sharjah,8,4278.4,534.8,0.0,0.0,900,0.0089,0,0,459.1,112,0,35.3,1.0847
2021-11-01,STR-003,PRD-0101,PowerMax Supplements 305,Sports,Supplements,Qatar,Lusail,0,0.0,156.85,0.0,0.0,501,0.0,0,0,175.9,0,0,15.0,1.0234
2021-03-01,STR-046,PRD-0228,EleganceX Kids 120,Fashion,Kids Clothing,Oman,Nizwa,17,4798.12,332.05,15.0,0.0,195,0.0872,0,0,374.5,98,0,19.2,0.9522
2023-01-28,STR-018,PRD-0071,DailyDelight Dairy 545,Grocery,Dairy,UAE,Dubai,31,801.35,25.85,0.0,0.0,397,0.0781,0,1,24.83,63,0,15.7,1.073
2021-03-05,STR-020,PRD-0129,ProTech Smart 502,Electronics,Smart Watches,KSA,Riyadh,5,5687.15,1137.43,0.0,0.0,1039,0.0048,0,1,1152.0,141,0,19.0,0.9541
2020-03-02,STR-003,PRD-0067,VogueWear Kids 481,Fashion,Kids Clothing,Qatar,Lusail,9,7191.18,799.02,0.0,0.0,544,0.0165,0,0,698.9,58,0,18.1,0.8132
2020-01-09,STR-019,PRD-0144,EleganceX Accessories 440,Fashion,Accessories,Oman,Muscat,12,5079.36,423.28,0.0,0.0,506,0.0237,0,0,443.36,40,0,15.0,0.9509
2021-11-07,STR-023,PRD-0084,OrganicBest Frozen 494,Grocery,Frozen Foods,Qatar,Al Khor,71,1412.05,24.86,20.0,0.0,647,0.1097,0,0,23.46,71,0,15.0,1.024
2024-09-15,STR-033,PRD-0458,UrbanStyle Men 280,Fashion,Men Clothing,UAE,Dubai,10,1152.13,164.59,30.0,0.0,497,0.0201,0,0,156.79,71,0,26.0,1.1383
2020-10-17,STR-040,PRD-0126,EleganceX Men 625,Fashion,Men Clothing,Oman,Salalah,15,1606.36,118.99,10.0,0.0,525,0.0286,0,1,115.8,54,0,15.6,0.8894
2022-04-19,STR-032,PRD-0356,EleganceX Accessories 911,Fashion,Accessories,Qatar,Al Khor,14,618.13,55.19,20.0,0.0,319,0.0439,1,0,62.1,77,0,32.2,1.0419
2024-12-30,STR-001,PRD-0198,RadiantX Personal 290,Beauty,Personal Care,Oman,Nizwa,11,4073.08,370.28,0.0,99.48,434,0.0253,0,0,370.17,29,3,15.0,1.1499
2020-09-07,STR-019,PRD-0086,VoltX Smart 911,Electronics,Smart Watches,Oman,Muscat,4,11153.72,2788.43,0.0,0.0,344,0.0116,0,0,2731.22,94,0,28.4,0.8308
2024-05-26,STR-035,PRD-0177,ClassicFit Kids 259,Fashion,Kids Clothing,KSA,Mecca,8,1280.0,160.0,0.0,0.0,297,0.0269,0,0,137.73,130,0,39.7,1.126
2021-11-20,STR-048,PRD-0046,GlowUp Makeup 985,Beauty,Makeup,UAE,Dubai,0,0.0,122.41,0.0,0.0,991,0.0,0,1,123.2,0,0,15.0,1.0255
2024-06-30,STR-014,PRD-0121,VogueWear Women 842,Fashion,Women Clothing,Oman,Salalah,11,7856.42,714.22,0.0,0.0,957,0.0115,0,0,685.0,106,5,38.7,1.1298
2022-07-20,STR-050,PRD-0369,FarmFresh Beverages 787,Grocery,Beverages,UAE,Dubai,53,1267.23,23.91,0.0,0.0,370,0.1432,0,0,21.16,144,0,35.3,1.052
2022-06-06,STR-010,PRD-0356,EleganceX Accessories 911,Fashion,Accessories,KSA,Dammam,14,656.76,55.19,15.0,0.0,555,0.0252,0,0,59.76,32,4,39.2,1.0472
2021-11-12,STR-005,PRD-0103,NaturePure Beverages 768,Grocery,Beverages,UAE,Ajman,93,4339.38,46.66,0.0,0.0,581,0.1601,0,1,48.16,93,0,15.0,1.0246
2024-08-06,STR-029,PRD-0245,HomePlus Storage 123,Home & Living,Storage,UAE,Sharjah,7,5245.17,749.31,0.0,0.0,654,0.0107,0,0,815.26,20,0,34.7,1.1339
2024-02-12,STR-043,PRD-0184,NaturePure Frozen 541,Grocery,Frozen Foods,Oman,Salalah,50,1371.5,27.43,0.0,387.56,493,0.1014,0,0,31.38,50,3,15.5,1.1146
2022-04-26,STR-004,PRD-0144,EleganceX Accessories 440,Fashion,Accessories,Oman,Muscat,19,5629.62,423.28,30.0,0.0,574,0.0331,1,0,413.19,142,4,35.1,1.0427
2022-04-23,STR-018,PRD-0215,EliteHome Kitchen 462,Home & Living,Kitchen,UAE,Dubai,17,6358.04,498.67,25.0,0.0,1336,0.0127,1,1,444.43,65,0,33.1,1.0423
2022-01-03,STR-047,PRD-0093,ClassicFit Accessories 142,Fashion,Accessories,KSA,Riyadh,13,1391.65,107.05,0.0,0.0,862,0.0151,0,0,97.44,91,0,15.0,1.0303
2022-07-14,STR-028,PRD-0010,ClassicFit Kids 640,Fashion,Kids Clothing,UAE,Ajman,6,680.04,113.34,0.0,248.2,322,0.0186,0,0,112.64,106,0,38.8,1.0513
2021-01-07,STR-009,PRD-0466,HomePlus Lighting 289,Home & Living,Lighting,UAE,Abu Dhabi,3,3306.33,1102.11,0.0,0.0,575,0.0052,0,0,962.79,27,0,15.0,0.9274
2021-07-01,STR-038,PRD-0437,NaturePure Bakery 771,Grocery,Bakery,KSA,Riyadh,37,1760.09,47.57,0.0,0.0,447,0.0828,0,0,43.11,37,0,40.0,1.0099
2020-07-07,STR-043,PRD-0061,LivingArt Decor 729,Home & Living,Decor,Oman,Salalah,6,4865.16,810.86,0.0,0.0,622,0.0096,0,0,736.63,121,0,40.0,0.825
2023-04-01,STR-016,PRD-0339,ZenDigital Smart 918,Electronics,Smart Watches,UAE,Sharjah,14,13616.61,1389.45,30.0,0.0,523,0.0268,1,1,1253.78,26,0,27.8,1.0799
2024-03-16,STR-018,PRD-0089,OrganicBest Frozen 940,Grocery,Frozen Foods,UAE,Dubai,63,187.49,3.72,20.0,0.0,1685,0.0374,1,1,3.46,96,0,23.9,1.1182
2023-08-28,STR-033,PRD-0296,SportElite Sportswear 258,Sports,Sportswear,UAE,Dubai,2,187.58,93.79,0.0,0.0,594,0.0034,0,0,81.9,107,0,30.4,1.0962
2021-05-05,STR-039,PRD-0438,VogueWear Men 462,Fashion,Men Clothing,UAE,Abu Dhabi,15,7041.4,670.61,30.0,0.0,858,0.0175,1,0,656.0,35,0,33.9,0.983
2022-11-26,STR-025,PRD-0162,ProFit Sportswear 532,Sports,Sportswear,Oman,Nizwa,17,9795.57,576.21,0.0,0.0,888,0.0191,0,1,613.39,111,0,15.0,1.0661
2023-07-13,STR-019,PRD-0347,SportElite Accessories 937,Sports,Accessories,Oman,Muscat,12,986.14,96.68,15.0,0.0,307,0.0391,0,0,91.01,34,0,40.3,1.0912
2020-09-27,STR-046,PRD-0466,HomePlus Lighting 289,Home & Living,Lighting,Oman,Nizwa,2,2204.22,1102.11,0.0,0.0,284,0.007,0,0,1185.53,42,0,28.3,0.8326
2021-04-11,STR-050,PRD-0360,ModernEdge Footwear 610,Fashion,Footwear,UAE,Dubai,8,2638.72,329.84,0.0,0.0,380,0.0211,0,0,283.83,40,0,28.7,0.9716
2020-08-30,STR-022,PRD-0081,CozyNest Storage 369,Home & Living,Storage,KSA,Dammam,0,0.0,199.2,0.0,310.69,249,0.0,0,0,183.29,51,0,31.7,0.83
2022-02-21,STR-003,PRD-0242,GlowUp Haircare 854,Beauty,Haircare,Qatar,Lusail,20,1279.0,63.95,0.0,0.0,675,0.0296,0,0,66.68,75,0,15.7,1.0357
2021-12-28,STR-004,PRD-0048,FreshChoice Frozen 211,Grocery,Frozen Foods,Oman,Muscat,77,275.12,3.97,10.0,0.0,362,0.2127,0,0,4.0,112,0,15.0,1.0296
